ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001670254-22-001202	2			Kitsbow Apparel I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	16-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001200	1			Starchive I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001198	1			WeShape I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001197	1			Azure I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001197	2			Azure I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001195	2			HelloWoofy I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001195	1			HelloWoofy I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001821982-22-000014	1			AHD Investors, LLC	Limited Liability Company		NC	29-JUN-2020	197 N. Second St.		Albemarle	NC	28001	
0001670254-22-001191	1			Stapgen I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	08-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001189	1			Nexus Build Inc. I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001185	2			ZenVR I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001185	1			ZenVR I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001184	1			Joule Case II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001180	1			Gradey I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001184	2			Joule Case II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001183	1			Prepdeck I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001183	2			Prepdeck I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001178	1			Tactogen I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001176	2			Landeed  I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001176	1			Landeed  I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001174	1			Sports Matching I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001172	1			The Flip Side I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	08-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001644600-22-000131	1			Eqvista Funding LLC	Limited Liability Company		DE	27-OCT-2022	5348 VEGAS DRIVE		LAS VEGAS	NV	89108	
0001670254-22-001170	2			Thryv I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001170	1			Thryv I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001167	1			Espanita Tequila Company I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001162	1			Swing Zen I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001162	2			Swing Zen I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001165	1			The King of Con I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001167	2			Espanita Tequila Company I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001168	1			Skillest, Inc. I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001168	2			Skillest, Inc. I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001160	2			Zeek II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001160	1			Zeek II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
